Description,link,sno
"KattumandharaiFabric: Silk Cotton & Multi patch
 Sleeve: 5.3inches 
Style: Basic Short fit Kurti with Side Slit
 Length: 40.5Inches 
 Colour: Beige & Multi Color",https://instore.co.in//collections/offers/products/kattumandarai,1
"AbilashaFabric: South Cotton 
 Sleeve: 6 inches 
Style: Basic Short fit kurti with side slit
Length: 39.5 Inches  
Colour: White & Blue",https://instore.co.in//collections/offers/products/abilasha,2
"Veena plum (kurti+coat)Fabric: Georgette 
 Sleeve:16 inches 
Style: Sleeveless kurti with aari embroidered coat 
Length: Kurti-42 Inches 
Coat- 48inches 
Colour: Plum",https://instore.co.in//collections/offers/products/veena-plum,3
"Blue LilyFabric: Cotton
 Sleeve: 5.9inches
 Style: Basic straight cut kurti with side slit
 Length: 45.5 Inches
 Colour: Blue",https://instore.co.in//collections/offers/products/blue-lily,4
"Veena Maroon (kurti+coat)Fabric: Georgette 
 Sleeve:16 inches 
Style: Sleeveless kurti with aari embroidered coat 
Length: Kurti-42 Inches
 Coat- 48inches 
Colour: Maroon",https://instore.co.in//collections/offers/products/veena-marron,5
"AkalyaFabric: Printed Cotton  
 Sleeve: 18 inches 
Style: Printed full flared Anarkali 
 Length: 49 Inches
 Colour: Light lime green & pink",https://instore.co.in//collections/offers/products/akalya,6
"AlizaFabric: Striped Synthetic
 Sleeve: 17inches
 Style: Basic straight cut kurti with side slit
 Length: 46 Inches
 Colour: Dark Bottle Green",https://instore.co.in//collections/offers/products/aliza,7
"YaminiFabric: South Cotton 
Sleeve: 5.5 Inches  
Style: Embroidered Aline Kurti with back rope & attractive border
Length: Kurti -55 Inches
Colour: Grey & Pastel Green",https://instore.co.in//collections/offers/products/yamini,8
"Chozhamadevi Green (kurti+dupatta)Fabric: Georgette with Butter crepe Lining
Sleeve: 15.3 inches 
Style: Full Flared Anarklai with Aari work in front yoke, sleeves & dupatta border
Length: 45 Inches
 Dupatta: 2.45 mts 
Colour: Bottle Green",https://instore.co.in//collections/offers/products/chozhamadevi-bottelgreen-kurti-dupatta,9
"Aarathya Blue (Kurti+Dupatta)Fabric: Pure Cotton 
 Sleeve: 15.5inches
 Style: Printed flared Anarkali with dupatta
 Length: 47.5Inches 
Dupatta: 2.3 mts
Colour: Blue",https://instore.co.in//collections/offers/products/aarathya-blue-kurti-dupatta,10
